2025-10-12 11:05:57,427 - DEBUG - [GridSearch] iter=23 | order=['deduplication', 'normalization', 'missing_value', 'stopword', 'model'] | vec=[2, 1, 1, 1, 1] | utility=282.48
2025-10-12 11:05:57,442 - DEBUG - [GridSearch] iter=24 | order=['whitespace', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:57,628 - DEBUG - [GridSearch] iter=25 | order=['whitespace', 'stopword', 'deduplication', 'normalization', 'outlier', 'punctuation', 'model'] | vec=[2, 2, 2, 1, 4, 1, 1] | utility=285.12
2025-10-12 11:05:57,642 - DEBUG - [GridSearch] iter=26 | order=['punctuation', 'missing_value', 'deduplication', 'model'] | vec=[2, 8, 1, 1] | utility=188.80
2025-10-12 11:05:57,819 - DEBUG - [GridSearch] iter=27 | order=['stopword', 'normalization', 'deduplication', 'missing_value', 'whitespace', 'outlier', 'model'] | vec=[1, 2, 1, 4, 1, 5, 1] | utility=177.61
2025-10-12 11:05:57,827 - DEBUG - [GridSearch] iter=28 | order=['deduplication', 'model'] | vec=[2, 1] | utility=282.48
2025-10-12 11:05:57,991 - DEBUG - [GridSearch] iter=29 | order=['outlier', 'missing_value', 'whitespace', 'normalization', 'punctuation', 'model'] | vec=[1, 1, 2, 5, 1, 1] | utility=188.80
2025-10-12 11:05:58,156 - DEBUG - [GridSearch] iter=30 | order=['whitespace', 'punctuation', 'outlier', 'normalization', 'model'] | vec=[2, 1, 8, 1, 1] | utility=164.64
2025-10-12 11:05:58,322 - DEBUG - [GridSearch] iter=31 | order=['punctuation', 'outlier', 'normalization', 'missing_value', 'deduplication', 'stopword', 'model'] | vec=[1, 2, 3, 2, 1, 1, 1] | utility=155.51
2025-10-12 11:05:58,322 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:58,399 - DEBUG - [GridSearch] iter=1 | order=['normalization', 'missing_value', 'deduplication', 'whitespace', 'punctuation', 'model'] | vec=[3, 9, 1, 2, 2, 1] | utility=188.80
2025-10-12 11:05:58,642 - DEBUG - [GridSearch] iter=2 | order=['deduplication', 'outlier', 'model'] | vec=[1, 3, 1] | utility=156.67
2025-10-12 11:05:58,749 - DEBUG - [GridSearch] iter=3 | order=['whitespace', 'stopword', 'normalization', 'outlier', 'missing_value', 'model'] | vec=[2, 2, 3, 7, 7, 1] | utility=171.30
2025-10-12 11:05:58,806 - DEBUG - [GridSearch] iter=4 | order=['punctuation', 'normalization', 'deduplication', 'stopword', 'model'] | vec=[1, 4, 2, 1, 1] | utility=282.48
2025-10-12 11:05:58,904 - DEBUG - [GridSearch] iter=5 | order=['outlier', 'stopword', 'model'] | vec=[6, 2, 1] | utility=165.43
2025-10-12 11:05:58,980 - DEBUG - [GridSearch] iter=6 | order=['stopword', 'deduplication', 'missing_value', 'normalization', 'model'] | vec=[1, 2, 3, 4, 1] | utility=282.48
